"id","symbol","period","open_time","close_time","open","close","high","low","volume","quote_asset_volume","num_trades","first_id","last_id","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","create_time","update_time","event_time","receive_time"
"1406840300009209857","BTCUSDT","1m","1624251780000","1624251839999","34341.88","34364.85","34393.99","34333.76","794.671","27310273.03637","7186","1043158737","1043165922","487.449","16752539.47797","21/6/2021 05:04:00","21/6/2021 05:04:00","1624251840005","1624251840009"
"1406840048451596289","BTCUSDT","1m","1624251720000","1624251779999","34331.15","34341.41","34368.58","34305.66","1350.24","46358718.84194","9615","1043149122","1043158736","560.575","19249739.93457","21/6/2021 05:03:00","21/6/2021 05:03:00","1624251780027","1624251780032"
"1406839796713664513","BTCUSDT","1m","1624251660000","1624251719999","34332.57","34331.15","34385.04","34316.67","2356.34","80952344.51648","22238","1043126884","1043149121","1247.278","42853331.25151","21/6/2021 05:02:00","21/6/2021 05:02:00","1624251720007","1624251720014"
"1406839545927876609","BTCUSDT","1m","1624251600000","1624251659999","34245.96","34330.43","34336.8","34192.99","2140.46","73345847.56939","16531","1043110353","1043126883","1336.049","45798736.87547","21/6/2021 05:01:00","21/6/2021 05:01:00","1624251660023","1624251660222"
"1406839296576503811","BTCUSDT","1m","1624251540000","1624251599999","34202.61","34246.52","34266.32","34176.62","1544.268","52857677.09577","13053","1043097300","1043110352","1011.998","34641034.11819","21/6/2021 05:00:00","21/6/2021 05:00:00","1624251600111","1624251600772"
"1406839042032545794","BTCUSDT","1m","1624251480000","1624251539999","34172.82","34202.5","34210","34160","1340.777","45842958.7318","11237","1043086063","1043097299","835.298","28561049.69059","21/6/2021 04:59:00","21/6/2021 04:59:00","1624251540017","1624251540084"
"1406838790256865282","BTCUSDT","1m","1624251420000","1624251479999","34154.4","34171.32","34180","34107.39","1057.69","36118371.85096","7691","1043078372","1043086062","506.88","17311462.17994","21/6/2021 04:58:00","21/6/2021 04:58:00","1624251480036","1624251480055"
"1406838538409881602","BTCUSDT","1m","1624251360000","1624251419999","34111.34","34154.12","34183.99","34102.27","1584.657","54119590.98637","13396","1043064976","1043078371","1050.443","35876706.20131","21/6/2021 04:57:00","21/6/2021 04:57:00","1624251420006","1624251420011"
"1406838287112351746","BTCUSDT","1m","1624251300000","1624251359999","34022.06","34111.34","34141.39","34013.01","1770.242","60365874.33029","16671","1043048305","1043064975","1145.514","39060957.44857","21/6/2021 04:56:00","21/6/2021 04:56:00","1624251360006","1624251360100"
"1406838035760295937","BTCUSDT","1m","1624251240000","1624251299999","33932.95","34022.05","34042.01","33932.95","1276.99","43412997.65652","8824","1043039481","1043048304","822.21","27951868.73565","21/6/2021 04:55:00","21/6/2021 04:55:00","1624251300017","1624251300170"
"1406837783594545153","BTCUSDT","1m","1624251180000","1624251239999","33880.78","33932.96","33948.62","33880.77","552.441","18738817.5218","4189","1043035292","1043039480","345.542","11720636.09483","21/6/2021 04:54:00","21/6/2021 04:54:00","1624251240045","1624251240049"
"1406837532187963394","BTCUSDT","1m","1624251120000","1624251179999","33909.08","33880.78","33944","33870.97","486.881","16508270.43907","4196","1043031096","1043035291","242.957","8238125.87036","21/6/2021 04:53:00","21/6/2021 04:53:00","1624251180049","1624251180109"
"1406837280487780353","BTCUSDT","1m","1624251060000","1624251119999","33925.32","33909.09","33933.36","33853","874.982","29653882.4289","6992","1043024104","1043031095","443.132","15019258.58756","21/6/2021 04:52:00","21/6/2021 04:52:00","1624251120053","1624251120098"
"1406837028468867073","BTCUSDT","1m","1624251000000","1624251059999","33963.93","33925.32","33990","33923.14","614.018","20852330.3902","4991","1043019113","1043024103","309.836","10522629.87892","21/6/2021 04:51:00","21/6/2021 04:51:00","1624251060007","1624251060013"
"1406836779331366914","BTCUSDT","1m","1624250940000","1624250999999","33987.04","33963","33991","33901.83","681.61","23130361.95744","5104","1043014009","1043019112","313.304","10632706.00299","21/6/2021 04:50:00","21/6/2021 04:50:00","1624251000090","1624251000613"
"1406836525190098945","BTCUSDT","1m","1624250880000","1624250939999","33916.56","33987.04","33994.8","33914.12","982.835","33378911.92105","6938","1043007071","1043014008","614.105","20857966.52443","21/6/2021 04:49:00","21/6/2021 04:49:00","1624250940018","1624250940022"
"1406836274391691265","BTCUSDT","1m","1624250820000","1624250879999","34027.81","33913.94","34027.81","33908.24","1553.729","52761231.31677","12695","1042994376","1043007070","508.665","17272073.8885","21/6/2021 04:48:00","21/6/2021 04:48:00","1624250880051","1624250880226"
"1406836022049779713","BTCUSDT","1m","1624250760000","1624250819999","34075.55","34027.8","34080.65","34027.8","961.819","32754253.77215","7395","1042986981","1042994375","401.031","13657426.16523","21/6/2021 04:47:00","21/6/2021 04:47:00","1624250820024","1624250820064"
"1406835770206990337","BTCUSDT","1m","1624250700000","1624250759999","34009.45","34074.36","34159.27","34001.35","3441.862","117327251.49393","27882","1042959099","1042986980","2009.781","68509860.65776","21/6/2021 04:46:00","21/6/2021 04:46:00","1624250760015","1624250760020"
"1406835520046153730","BTCUSDT","1m","1624250640000","1624250699999","33866.52","34009.45","34020","33866.51","2675.122","90841778.2688","19057","1042940042","1042959098","1890.189","64186483.42466","21/6/2021 04:45:00","21/6/2021 04:45:00","1624250700009","1624250700376"
"1406835267079254017","BTCUSDT","1m","1624250580000","1624250639999","33738.83","33866.52","33881.47","33728.13","1308.232","44258049.95123","10112","1042929930","1042940041","792.14","26798898.77715","21/6/2021 04:44:00","21/6/2021 04:44:00","1624250640046","1624250640065"
"1406835015492317187","BTCUSDT","1m","1624250520000","1624250579999","33768.79","33736.71","33847.09","33736.71","1500.033","50702995.01464","9699","1042920231","1042929929","864.333","29220580.45091","21/6/2021 04:43:00","21/6/2021 04:43:00","1624250580007","1624250580081"
"1406834764006043650","BTCUSDT","1m","1624250460000","1624250519999","33685.81","33768.78","33801","33661.79","2613.09","88160496.64748","17216","1042903015","1042920230","1612.051","54386890.07031","21/6/2021 04:42:00","21/6/2021 04:42:00","1624250520029","1624250520122"
"1406834512255528962","BTCUSDT","1m","1624250400000","1624250459999","33934.64","33685.67","33937.36","33630","3543.754","119612829.60309","23608","1042879398","1042903014","1352.871","45674386.61991","21/6/2021 04:41:00","21/6/2021 04:41:00","1624250460008","1624250460101"
